allele	count	freq
ArGa-DQB*1	145	18.285
ArGa-DQB*2	72	9.0794
ArGa-DQB*3	62	7.8184
ArGa-DQB*4	60	7.5662
ArGa-DQB*5	57	7.1879
ArGa-DQB*6	55	6.9357
ArGa-DQB*7	54	6.8096
ArGa-DQB*8	52	6.5574
ArGa-DQB*9	48	6.053
ArGa-DQB*10	46	5.8008
ArGa-DQB*11	18	2.2699
ArGa-DQB*12	17	2.1438
ArGa-DQB*13	17	2.1438
ArGa-DQB*14	14	1.7654
ArGa-DQB*15	13	1.6393
ArGa-DQB*16	13	1.6393
ArGa-DQB*17	12	1.5132
ArGa-DQB*18	9	1.1349
ArGa-DQB*19	7	0.8827
ArGa-DQB*20	2	0.2522
ArGa-DQB*21	2	0.2522
ArGa-DQB*22	2	0.2522
ArGa-DQB*23	2	0.2522
ArGa-DQB*24	2	0.2522
ArGa-DQB*25	2	0.2522
ArGa-DQB*26	2	0.2522
ArGa-DQB*27	2	0.2522
ArGa-DQB*28	2	0.2522
ArGa-DQB*29	2	0.2522
ArGa-DQB*30	2	0.2522
