pcrID	pnasID	colony 
AGF11001	M1	SSB
AGF11002	M2	SSB
AGF11003	M3	SSB
AGF11004	M4	SSB
AGF11005	M5	SSB
W8913mum	M6	FWB
W8914mum	M7	FWB
W8915mum	M8	FWB
AGF11006	M9	SSB
W8916mum	M10	FWB
W8917mum	M11	FWB
W8918mum	M12	FWB
W8919mum	M13	FWB
W8920mum	M14	FWB
AGF11007	M5	SSB
W8921mum	M16	FWB
W8922mum	M17	FWB
W8923mum	M18	FWB
AGF11008	M19	SSB
W8924	M20	FWB
W8925mum	M21	FWB
W8926mum	M22	FWB
W8927mum	M23	FWB
W8928mum	M24	FWB
W8552W8258mum	M25	FWB
AGF11009	M26	SSB
AGF11010	M27	SSB
AGF11011	M28	SSB
AGF11012	M29	SSB
W8930mum	M30	FWB
W8931mum	M31	FWB
W8932mum	M32	FWB
W8933mum	M33	FWB
W8935mum	M35	FWB
W8936mum	M36	FWB
AGF11014	M37	SSB
W8937mum	M38	FWB
W8939mum	M39	FWB
AGF11015	M40	SSB
AGF11016	M41	SSB
AGF11018	M43	SSB
AGF11019	M44	SSB
AGF11020	M45	SSB
AGF11021	M46	SSB
AGF11022	M47	SSB
AGF11023	M48	SSB
AGP11009	P1	SSB
AGP11014	P2	SSB
AGP11022	P3	SSB
AGP11026	P4	SSB
AGP11018	P5	SSB
W8913pup	P6	FWB
W8914pup	P7	FWB
W8915pup	P8	FWB
AGP11032	P9	SSB
W8916pup	P10	FWB
W8917pup	P11	FWB
W8918pup	P12	FWB
W8919pup	P13	FWB
W8920pup	P14	FWB
AGP11051	P15	SSB
W8921pup	P16	FWB
W8922pup	P17	FWB
W8923pup	P18	FWB
AGP11041	P19	SSB
W8924pup	P20	FWB
W8925pup	P21	FWB
W8926pup	P22	FWB
W8927pup	P23	FWB
W8928pup	P24	FWB
W8552W8258pup	P25	FWB
AGP11078	P26	SSB
AGP11065	P27	SSB
AGP11063	P28	SSB
AGP11079	P29	SSB
W8930pup	P30	FWB
W8931pup	P31	FWB
W8932pup	P32	FWB
W8933pup	P33	FWB
W8935pup	P35	FWB
W8936pup	P36	FWB
AGP11125	P37	SSB
W8937pup	P38	FWB
W8939pup	P39	FWB
AGP11144	P40	SSB
AGP11145	P41	SSB
AGP11174	P43	SSB
AGP11151	P44	SSB
AGP11192	P45	SSB
AGP11185	P46	SSB
AGP11211	P47	SSB
AGP11200	P48	SSB
