clone_id	real_id	colony	maturity	family
W8552W8258mum	W8552W8258mum	FWB	M	1
W8913mum	W8913mum	FWB	M	2
W8913pup	W8913pup	FWB	P	2
W8914mum	W8914mum	FWB	M	3
W8914pup	W8914pup	FWB	P	3
W8915mum	W8915mum	FWB	M	4
W8915pup	W8915pup	FWB	P	4
W8916mum	W8916mum	FWB	M	5
W8920mum	W8920mum	FWB	M	6
W8921mum	W8921mum	FWB	M	7
W8922mum	W8922mum	FWB	M	8
W8922pup	W8922pup	FWB	P	8
W8923mum	W8923mum	FWB	M	9
W8923pup	W8923pup	FWB	P	9
W8924	W8924mum	FWB	M	10
W8925mum	W8925mum	FWB	M	11
W8925pup	W8925pup	FWB	P	11
W8927mum	W8927mum	FWB	M	12
W8927pup	W8927pup	FWB	P	12
W8928mum	W8928mum	FWB	M	13
W8928pup	W8928pup	FWB	P	13
W8930mum	W8930mum	FWB	M	14
W8930pup	W8930pup	FWB	P	14
W8931mum	W8931mum	FWB	M	15
W8931pup	W8931pup	FWB	P	15
W8933mum	W8933mum	FWB	M	16
W8933pup	W8933pup	FWB	P	16
W8935mum	W8935mum	FWB	M	17
W8935pup	W8935pup	FWB	P	17
W8936mum	W8936mum	FWB	M	18
W8937mum	W8937mum	FWB	M	19
W8937pup	W8937pup	FWB	P	19
W8939mum	W8939mum	FWB	M	20
AGP11022	W8565pup	SSB	P	21
AGP11032	W8568pup	SSB	P	22
AGF11007	W8569mum	SSB	M	23
AGP11051	W8569pup	SSB	P	23
AGF11008	W8570mum	SSB	M	24
AGP11041	W8570pup	SSB	P	24
AGP11078	W8571pup	SSB	P	25
AGF11010	W8572mum	SSB	M	26
AGP11065	W8572pup	SSB	P	26
AGF11011	W8573mum	SSB	M	27
AGP11063	W8573pup	SSB	P	27
AGF11012	W8574mum	SSB	M	28
AGP11079	W8574pup	SSB	P	28
AGF11014	W8576mum	SSB	M	29
AGP11125	W8576pup	SSB	P	29
AGP11144	W8577pup	SSB	P	30
AGF11016	W8578mum	SSB	M	31
AGP11145	W8578pup	SSB	P	31
AGF11018	W8580mum	SSB	M	32
AGF11019	W8581mum	SSB	M	33
AGF11020	W8582mum	SSB	M	34
AGF11021	W8583mum	SSB	M	35
AGF11023	W8585mum	SSB	M	36
