BankIt2564186 ArGa-DQB*1 	ON060886
BankIt2564186 ArGa-DQB*2 	ON060887
BankIt2564186 ArGa-DQB*3 	ON060888
BankIt2564186 ArGa-DQB*4 	ON060889
BankIt2564186 ArGa-DQB*5 	ON060890
BankIt2564186 ArGa-DQB*6 	ON060891
BankIt2564186 ArGa-DQB*7 	ON060892
BankIt2564186 ArGa-DQB*8 	ON060893
BankIt2564186 ArGa-DQB*9 	ON060894
BankIt2564186 ArGa-DQB*10	ON060895
BankIt2564186 ArGa-DQB*11	ON060896
BankIt2564186 ArGa-DQB*12	ON060897
BankIt2564186 ArGa-DQB*13	ON060898
BankIt2564186 ArGa-DQB*14	ON060899
BankIt2564186 ArGa-DQB*15	ON060900
BankIt2564186 ArGa-DQB*16	ON060901
BankIt2564186 ArGa-DQB*17	ON060902
BankIt2564186 ArGa-DQB*18	ON060903
BankIt2564186 ArGa-DQB*19	ON060904
